image_name,color0,color1,color2,color3,color4,color5,color6,color7,color8,color9
09901-courb405.jpg,#a99a86,#836953,#8c92ac,#cfcfc4,#796878,#3d2b1f,#8b8589,#696969,#979aaa,#9f8170
12501-13sebast.jpg,#933d41,#321414,#c19a6b,#eae0c8,#654321,#eedc82,#321414,#b94e48,#a67b5b,#7c4848
24948-borgo2.jpg,#e08d3c,#996515,#1a2421,#3d2b1f,#c72,#654321,#343434,#1a2421,#f8b878,#722f37
19563-granida.jpg,#1a2421,#933d41,#bc987e,#3d2b1f,#f5deb3,#893f45,#722f37,#b94e48,#592720,#1a1110
28767-6gresham.jpg,#100c08,#2c1608,#996515,#e08d3c,#cd7f32,#654321,#704214,#100c08,#cd7f32,#100c08
37377-moret7.jpg,#dbd7d2,#dbd7d2,#a99a86,#826644,#a2add0,#918151,#a9a9a9,#3d2b1f,#c4c3d0,#4f7942
39908-mystic_m.jpg,#bc987e,#826644,#321414,#100c08,#1a1110,#e3dac9,#a67b5b,#841b2d,#a32638,#1a1110
05978-landsca2.jpg,#635147,#3d2b1f,#a9a9a9,#253529,#1a2421,#979aaa,#cfcfc4,#696969,#a9a9a9,#555
03229-colomba1.jpg,#bc987e,#826644,#321414,#cfcfc4,#1a1110,#722f37,#ad6f69,#645452,#d2b48c,#a67b5b
43067-port_man.jpg,#1a2421,#100c08,#1a1110,#a99a86,#635147,#1a1110,#cfcfc4,#483c32,#918151,#c9c0bb
43841-games.jpg,#1a2421,#635147,#3d2b1f,#a99a86,#1a2421,#918151,#483c32,#e3dac9,#1a2421,#555d50
13996-jesusapp.jpg,#321414,#100c08,#1a1110,#8b4513,#c19a6b,#701c1c,#100c08,#a67b5b,#654321,#b87333
31878-tobias.jpg,#1a2421,#1a1110,#6f4e37,#6e7f80,#c19a6b,#1a2421,#5f9ea0,#1a2421,#91a3b0,#918151
20788-herodias.jpg,#1a2421,#1a2421,#645452,#51484f,#a99a86,#483c32,#eae0c8,#483c32,#253529,#9f8170
34717-doges2.jpg,#1a1110,#3c1414,#7c4848,#bc987e,#1a2421,#e3dac9,#592720,#645452,#aa98a9,#ad6f69
38964-08lastsu.jpg,#826644,#c19a6b,#1a1110,#3d2b1f,#1a2421,#1a2421,#a0785a,#eae0c8,#592720,#483c32
30026-04paal.jpg,#321414,#6f4e37,#a99a86,#d3d3d3,#cfcfc4,#100c08,#100c08,#1a1110,#b39eb5,#d3d3d3
37394-pieta.jpg,#933d41,#321414,#c19a6b,#1a1110,#eae0c8,#882d17,#e6be8a,#841b2d,#cb6d51,#a67b5b
43540-anselmus.jpg,#1a2421,#635147,#bc987e,#edc9af,#253529,#483c32,#e6be8a,#ad6f69,#51484f,#a0785a
36220-triptych.jpg,#100c08,#c19a6b,#826644,#2c1608,#a67b5b,#e6be8a,#edc9af,#1a1110,#654321,#100c08
42511-presenta.jpg,#3d2b1f,#674c47,#1a2421,#1a2421,#bc987e,#483c32,#edc9af,#51484f,#1a2421,#483c32
40327-turpin7.jpg,#a2add0,#c19a6b,#826644,#eae0c8,#3d2b1f,#c4c3d0,#e6be8a,#918151,#483c32,#aec6cf
19565-p_wildt.jpg,#321414,#100c08,#a99a86,#826644,#e3dac9,#654321,#a0785a,#d2b48c,#882d17,#1a1110
39952-5newtest.jpg,#826644,#bc987e,#3d2b1f,#f5deb3,#a0785a,#e6be8a,#1a2421,#4b3621,#483c32,#645452
08601-portgent.jpg,#1a1110,#1a2421,#1a1110,#635147,#bc987e,#eae0c8,#483c32,#c9c0bb,#1a1110,#918151
42082-02deposi.jpg,#2c1608,#826644,#bc987e,#100c08,#100c08,#e3dac9,#645452,#918151,#654321,#555
07331-limbo.jpg,#933d41,#3d2b1f,#cd9575,#592720,#f5deb3,#3d2b1f,#cb6d51,#e6be8a,#e6be8a,#9f8170
35415-36religi.jpg,#100c08,#321414,#79443b,#a99a86,#eae0c8,#100c08,#bcd4e6,#91a3b0,#1a1110,#a0785a
